File Name,,Reference,Verse,,,,,,
43-2Peter318_9_24_1.mp4,"""But grow in the grace and knowledge of our Lord and Savior Jesus Christ. To him be the glory both now and to the day of eternity. Amen."" - 2 Peter 3:18",2 Peter 3:18,But grow in the grace and knowledge of our Lord and Savior Jesus Christ. To him be the glory both now and to the day of eternity. Amen.,2 Peter 3:18 | Daily verse #bible ,,,,,2 Peter 3:18 | Daily verse #bible 
44-2Peter110_1_48_11.mp4,"""Therefore, brothers, be all the more diligent to confirm your calling and election, for if you practice these qualities you will never fall."" - 2 Peter 1:10",2 Peter 1:10,"Therefore, brothers, be all the more diligent to confirm your calling and election, for if you practice these qualities you will never fall.",2 Peter 1:10 | Daily verse #bible ,,,,,2 Peter 1:10 | Daily verse #bible 
45-Romans831_41_30_7.mp4,"""What then shall we say to these things? If God is for us, who can be against us?"" - Romans 8:31",Romans 8:31,"What then shall we say to these things? If God is for us, who can be against us?",Romans 8:31 | Daily verse #bible ,,,,,Romans 8:31 | Daily verse #bible 
46-Romans117_4_10_9.mp4,"""For in it the righteousness of God is revealed from faith for faith, as it is written, “The righteous shall live by faith.”"" - Romans 1:17",Romans 1:17,"For in it the righteousness of God is revealed from faith for faith, as it is written, “The righteous shall live by faith.”",Romans 1:17 | Daily verse #bible ,,,,,Romans 1:17 | Daily verse #bible 
47-Psalm375_25_5_10.mp4,"""Commit your way to the Lord; trust in him, and he will act."" - Psalm 37:5",Psalm 37:5,"Commit your way to the Lord; trust in him, and he will act.",Psalm 37:5 | Daily verse #bible ,,,,,Psalm 37:5 | Daily verse #bible 
48-Exodus195_36_1_0.mp4,"""Now therefore, if you will indeed obey my voice and keep my covenant, you shall be my treasured possession among all peoples, for all the earth is mine;"" - Exodus 19:5",Exodus 19:5,"Now therefore, if you will indeed obey my voice and keep my covenant, you shall be my treasured possession among all peoples, for all the earth is mine;",Exodus 19:5 | Daily verse #bible ,,,,,Exodus 19:5 | Daily verse #bible 
49-Proverbs1423_22_4_8.mp4,"""In all toil there is profit, but mere talk tends only to poverty."" - Proverbs 14:23",Proverbs 14:23,"In all toil there is profit, but mere talk tends only to poverty.",Proverbs 14:23 | Daily verse #bible ,,,,,Proverbs 14:23 | Daily verse #bible 
5-Philippians413_46_9_2.mp4,"""I can do all things through him who strengthens me."" - Philippians 4:13",Philippians 4:13,I can do all things through him who strengthens me.,Philippians 4:13 | Daily verse #bible ,,,,,Philippians 4:13 | Daily verse #bible 
50-Psalm234_47_3_1.mp4,"""Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me."" - Psalm 23:4",Psalm 23:4,"Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me.",Psalm 23:4 | Daily verse #bible ,,,,,Psalm 23:4 | Daily verse #bible 
51-1John322_56_32_2.mp4,"""And whatever we ask we receive from him, because we keep his commandments and do what pleases him."" - 1 John 3:22",1 John 3:22,"And whatever we ask we receive from him, because we keep his commandments and do what pleases him.",1 John 3:22 | Daily verse #bible ,,,,,1 John 3:22 | Daily verse #bible 
52-James112_35_7_8.mp4,"""Blessed is the man who remains steadfast under trial, for when he has stood the test he will receive the crown of life, which God has promised to those who love him."" - James 1:12",James 1:12,"Blessed is the man who remains steadfast under trial, for when he has stood the test he will receive the crown of life, which God has promised to those who love him.",James 1:12 | Daily verse #bible ,,,,,James 1:12 | Daily verse #bible 
53-Philippians23_50_6_4.mp4,"""Do nothing from selfish ambition or conceit, but in humility count others more significant than yourselves."" - Philippians 2:3",Philippians 2:3,"Do nothing from selfish ambition or conceit, but in humility count others more significant than yourselves.",Philippians 2:3 | Daily verse #bible ,,,,,Philippians 2:3 | Daily verse #bible 
